energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.919,0.633,0.43,0.805,0.00596,0.0343,She Works Out Too Much,MGMT,3.69
0.7120000000000001,0.705,0.1,0.62,0.0102,0.0385,Little Dark Age,MGMT,3.69
0.938,0.645,0.159,0.495,0.0946,0.0391,When You Die,MGMT,3.69
0.841,0.628,0.254,0.706,0.0285,0.0268,Me and Michael,MGMT,3.69
0.879,0.602,0.107,0.733,0.22,0.0994,TSLAMP,MGMT,3.69
0.898,0.515,0.1989999999999999,0.778,0.123,0.0291,James,MGMT,3.69
0.782,0.667,0.645,0.8859999999999999,0.0512,0.0318,Days That Got Away,MGMT,3.69
0.94,0.5760000000000001,0.308,0.667,0.00678,0.0445,One Thing Left to Try,MGMT,3.69
0.465,0.465,0.223,0.242,0.612,0.0276,When You're Small,MGMT,3.69
0.614,0.3779999999999999,0.129,0.481,0.706,0.0387,Hand It Over,MGMT,3.69
87.0,37.0,23.0,48.0,0.0,4.0,Wonderwall - Remastered,Oasis,3.68
92.0,33.0,13.0,34.0,6.0,6.0,Don't Look Back In Anger - Remastered,Oasis,3.68
80.0,29.0,36.0,12.0,47.0,4.0,Champagne Supernova - Remastered,Oasis,3.68
57.0,58.0,36.0,82.0,38.0,3.0,The Jean Genie - 2013 Remaster,David Bowie,3.81
27.0,40.0,10.0,9.0,74.0,3.0,Perfect Day,Lou Reed,3.92
0.262,0.564,0.0896,0.376,0.652,0.105,Walk On the Wild Side,Lou Reed,3.92
52.0,72.0,13.0,94.0,7.0,6.0,Psycho Killer - 2005 Remaster,Talking Heads,3.8
0.285,0.5770000000000001,0.163,0.0653,0.5760000000000001,0.0319,Sun It Rises,Fleet Foxes,3.75
0.534,0.629,0.3279999999999999,0.649,0.437,0.0267,White Winter Hymnal,Fleet Foxes,3.75
0.6579999999999999,0.362,0.0602,0.155,0.0995,0.0292,Ragged Wood,Fleet Foxes,3.75
0.679,0.5710000000000001,0.15,0.54,0.0322,0.0254,Quiet Houses,Fleet Foxes,3.75
0.556,0.507,0.3389999999999999,0.4639999999999999,0.256,0.0297,He Doesn't Know Why,Fleet Foxes,3.75
0.47,0.5720000000000001,0.381,0.251,0.6829999999999999,0.0285,Heard Them Stirring,Fleet Foxes,3.75
0.547,0.539,0.0737,0.138,0.545,0.0269,Your Protector,Fleet Foxes,3.75
0.446,0.524,0.1009999999999999,0.272,0.688,0.0275,Blue Ridge Mountains,Fleet Foxes,3.75
0.0631,0.48,0.0801,0.159,0.946,0.0413,Oliver James,Fleet Foxes,3.75
17.0,41.0,11.0,35.0,92.0,4.0,Suzanne,Leonard Cohen,4.13
40.0,54.0,10.0,23.0,70.0,3.0,"So Long, Marianne",Leonard Cohen,4.13
77.0,78.0,52.0,51.0,4.0,24.0,Stan,Eminem,3.66
66.0,95.0,5.0,76.0,3.0,6.0,The Real Slim Shady,Eminem,3.66
46.0,74.0,26.0,32.0,1.0,8.0,Seven Nation Army,The White Stripes,3.74
0.2319999999999999,0.579,0.344,0.2,0.395,0.0434,It's Okay To Cry,SOPHIE,3.74
0.381,0.823,0.14,0.46,0.0004969999999999,0.0889,Ponyboy,SOPHIE,3.74
0.455,0.4579999999999999,0.0549,0.299,0.0525,0.364,Faceshopping,SOPHIE,3.74
0.39,0.233,0.141,0.0565,0.000781,0.0336,Is It Cold In The Water?,SOPHIE,3.74
0.7170000000000001,0.7759999999999999,0.327,0.828,0.115,0.0836,Immaterial,SOPHIE,3.74
10.0,38.0,6.0,44.0,91.0,5.0,Blowin' in the Wind,Bob Dylan,3.97
0.272,0.569,0.23,0.461,0.895,0.0357,"Don't Think Twice, It's All Right",Bob Dylan,3.97
22.0,54.0,11.0,31.0,74.0,4.0,Harvest - 2009 Remaster,Neil Young,4.0
46.0,54.0,10.0,80.0,19.0,3.0,Heart of Gold - 2009 Remaster,Neil Young,4.0
0.535,0.865,0.11,0.867,0.155,0.242,Electric Relaxation,A Tribe Called Quest,4.1
47.0,70.0,32.0,76.0,69.0,4.0,People Are Strange,The Doors,3.94
