energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
0.727,0.593,0.123,0.417,0.0355,0.0453,Physical,Octafonic,-1
0.762,0.741,0.318,0.784,0.307,0.0346,Adiepena,Kidi,-1
0.4429999999999999,0.5589999999999999,0.292,0.409,0.645,0.036,Soñar Contigo,Amaia Romero,-1
0.187,0.7959999999999999,0.109,0.435,0.82,0.0948,Serious Question,Ghost Flows,-1
0.721,0.682,0.155,0.792,0.0878,0.0897,Beautiful Time,NCT DREAM,-1
0.928,0.177,0.976,0.0177,0.198,0.0507,Delightful Waterfall Sounds,Waterfall Sounds,-1
0.799,0.5920000000000001,0.0578,0.628,0.173,0.2289999999999999,Contigo Siempre,"Tito ""El Bambino""",-1
0.997,0.1689999999999999,0.4039999999999999,1e-05,0.815,0.0816,Waves and White Noise,Ocean Sounds,-1
0.741,0.7879999999999999,0.0987,0.295,0.0182,0.141,Coming for Me,Xodeviousox,-1
0.6920000000000001,0.846,0.127,0.228,0.0459,0.0623,SAVIOR,Elley Duhé,-1
0.6859999999999999,0.866,0.062,0.902,0.0409,0.288,Test Me,Promoting Sounds,-1
0.648,0.872,0.106,0.214,0.0845,0.1369999999999999,Episode 14 - Killing the Game,Method Man,-1
0.42,0.405,0.072,0.346,0.682,0.034,On the Banks,Chris Renzema,-1
0.422,0.8540000000000001,0.103,0.653,0.256,0.0524,Utopia,Payne Pepper Jam,-1
0.84,0.934,0.612,0.752,0.168,0.284,Follah Da Leadah,Mr. Vegas,-1
0.0239,0.1369999999999999,0.0968,0.145,0.99,0.0379,Elegy for the Arctic - Extended Version,Olivia Belli,-1
0.984,0.4629999999999999,0.191,0.297,0.000469,0.0664,One By One,Simple Plan,-1
0.8690000000000001,0.2289999999999999,0.103,0.324,0.00465,0.231,Cigarettes In The Theatre - Original Demo,Two Door Cinema Club,-1
0.6659999999999999,0.816,0.376,0.5489999999999999,0.0278,0.296,Imperial,Sirenz,-1
0.6,0.765,0.289,0.123,0.0376,0.065,Rivals (feat. KILLY and Smooky MarGielaa),No Jumper,-1
0.589,0.581,0.331,0.73,0.1969999999999999,0.452,CHROME,PNTHN,-1
0.691,0.6779999999999999,0.0786,0.486,0.0301,0.0824,Run Away,Feiertag,-1
0.532,0.541,0.0904,0.759,0.906,0.148,Sunrise - Intro,Denmark Vessey,-1
0.4589999999999999,0.477,0.1639999999999999,0.502,0.944,0.0323,追光者,Ariel Tsai,-1
0.64,0.804,0.12,0.491,0.0902,0.312,Who Gon’ Stop Us,DeJ Loaf,-1
0.947,0.2789999999999999,0.0834,0.733,0.000148,0.105,Paranoia,Krimewatch,-1
0.7,0.233,0.113,0.217,0.00615,0.0309,Cold Song,Good Charlotte,-1
0.779,0.337,0.769,0.374,0.0268,0.288,"A State Of Trance (ASOT 885) - ADE ASOT Marathon, Pt. 2",Armin van Buuren,-1
0.835,0.684,0.291,0.2739999999999999,0.642,0.0371,Hopelessly In Love,Luca Rivers,-1
